entry_id,iso_3166-1_alpha2_code,zip_postal_code,location_name,admin_name1,admin_code1,admin_name2,admin_code2,admin_name3,admin_code3,estimated_latitude,estimated_longitude,location_accuracy
,AT,7000,KleinhÃ¶flein im Burgenland,Burgenland,1,Eisenstadt Stadt,101,Eisenstadt,10101,47.8415,16.5041,4
,AT,7000,Eisenstadt,Burgenland,1,Eisenstadt Stadt,101,Eisenstadt,10101,47.8457,16.5233,4
,AT,7000,Sankt Georgen am Leithagebirge,Burgenland,1,Eisenstadt Stadt,101,Eisenstadt,10101,47.85,16.55,4
,AT,7071,Rust,Burgenland,1,Rust Stadt,102,Rust,10201,47.8012,16.6716,4
,AT,2443,Stotzing,Burgenland,1,Eisenstadt-Umgebung,103,Stotzing,10321,47.9,16.55,4
,AT,2443,Leithaprodersdorf,Burgenland,1,Eisenstadt-Umgebung,103,Leithaprodersdorf,10306,47.9335,16.4791,4
,AT,2443,Loretto,Burgenland,1,Eisenstadt-Umgebung,103,Loretto,10320,47.9156,16.5179,4
,AT,2485,Wimpassing an der Leitha,Burgenland,1,Eisenstadt-Umgebung,103,Wimpassing an der Leitha,10318,47.9167,16.4333,4
,AT,2491,Steinbrunn / Å tikapron,Burgenland,1,Eisenstadt-Umgebung,103,Steinbrunn,10316,47.8333,16.4167,4
,AT,2491,Hornstein / VoriÅ¡tan,Burgenland,1,Eisenstadt-Umgebung,103,Hornstein,10304,47.8805,16.4445,4
,AT,2491,Neufeld an der Leitha,Burgenland,1,Eisenstadt-Umgebung,103,Neufeld an der Leitha,10309,47.8656,16.3786,4
,AT,7011,Siegendorf / Cindrof,Burgenland,1,Eisenstadt-Umgebung,103,Siegendorf,10315,47.781,16.5423,4
,AT,7012,Zagersdorf / CogrÅ¡tof,Burgenland,1,Eisenstadt-Umgebung,103,Zagersdorf,10323,47.7647,16.5138,4
,AT,7013,Klingenbach / Klimpuh,Burgenland,1,Eisenstadt-Umgebung,103,Klingenbach,10305,47.7728,16.5281,1
,AT,7033,Zillingtal / Celindof,Burgenland,1,Eisenstadt-Umgebung,103,Zillingtal,10322,47.7997,16.3994,3
,AT,7034,Zillingtal / Celindof,Burgenland,1,Eisenstadt-Umgebung,103,Zillingtal,10322,47.7997,16.3994,1
,AT,7035,Steinbrunn / Å tikapron,Burgenland,1,Eisenstadt-Umgebung,103,Steinbrunn,10316,47.8333,16.4167,4
,AT,7035,Zillingtal / Celindof,Burgenland,1,Eisenstadt-Umgebung,103,Zillingtal,10322,47.7997,16.3994,3
,AT,7041,Wulkaprodersdorf / VulkaprodrÅ¡tof,Burgenland,1,Eisenstadt-Umgebung,103,Wulkaprodersdorf,10319,47.7975,16.5045,4
,AT,7051,GroÃŸhÃ¶flein,Burgenland,1,Eisenstadt-Umgebung,103,GroÃŸhÃ¶flein,10303,47.8359,16.4804,4
,AT,7052,MÃ¼llendorf,Burgenland,1,Eisenstadt-Umgebung,103,MÃ¼llendorf,10308,47.8394,16.4626,4
,AT,7053,Hornstein / VoriÅ¡tan,Burgenland,1,Eisenstadt-Umgebung,103,Hornstein,10304,47.8805,16.4445,4
,AT,7061,Trausdorf an der Wulka / TrajÅ¡tof,Burgenland,1,Eisenstadt-Umgebung,103,Trausdorf an der Wulka,10317,47.8219,16.6317,1
,AT,7062,Sankt Margarethen im Burgenland,Burgenland,1,Eisenstadt-Umgebung,103,Sankt Margarethen im Burgenland,10313,47.8034,16.6088,4
,AT,7063,Oggau am Neusiedler See,Burgenland,1,Eisenstadt-Umgebung,103,Oggau am Neusiedler See,10310,47.8333,16.6667,4
,AT,7064,Oslip / Uzlop,Burgenland,1,Eisenstadt-Umgebung,103,Oslip,10311,47.8291,16.6196,4
,AT,7072,MÃ¶rbisch am See,Burgenland,1,Eisenstadt-Umgebung,103,MÃ¶rbisch am See,10307,47.75,16.6667,4
,AT,7081,SchÃ¼tzen am Gebirge,Burgenland,1,Eisenstadt-Umgebung,103,SchÃ¼tzen am Gebirge,10314,47.8523,16.6233,4
,AT,7082,Donnerskirchen,Burgenland,1,Eisenstadt-Umgebung,103,Donnerskirchen,10302,47.8942,16.6463,4
,AT,7083,Purbach am Neusiedler See,Burgenland,1,Eisenstadt-Umgebung,103,Purbach am Neusiedler See,10312,47.9129,16.6956,4
,AT,7091,Breitenbrunn,Burgenland,1,Eisenstadt-Umgebung,103,Breitenbrunn am Neusiedler See,10301,47.9445,16.7315,4
,AT,7521,Unterbildein,Burgenland,1,Politischer Bezirk GÃ¼ssing,104,Bildein,10426,47.1284,16.4679,4
,AT,7521,Winten,Burgenland,1,Politischer Bezirk GÃ¼ssing,104,Eberau,10403,47.1171,16.4445,4
,AT,7521,Gaas,Burgenland,1,Politischer Bezirk GÃ¼ssing,104,Eberau,10403,47.0824,16.463,4
,AT,7521,Eberau,Burgenland,1,Politischer Bezirk GÃ¼ssing,104,Eberau,10403,47.1076,16.4604,4
,AT,7521,Kulm im Burgenland,Burgenland,1,Politischer Bezirk GÃ¼ssing,104,Eberau,10403,47.104,16.4524,4
