entry_id,iso_3166-1_alpha2_code,zip_postal_code,location_name,admin_name1,admin_code1,admin_name2,admin_code2,admin_name3,admin_code3,estimated_latitude,estimated_longitude,location_accuracy
,AZ,AZ 0100,AbÅŸeron,AbÅŸeron,1,,,,,40.4982,49.7582,1
,AZ,AZ 0101,1 Sayli,AbÅŸeron,1,,,,,40.4982,49.7582,1
,AZ,AZ 0102,2 Sayli,AbÅŸeron,1,,,,,40.4982,49.7582,1
,AZ,AZ 0111,AÅŸaÄŸi GÃ¼zdÉ™k,AbÅŸeron,1,,,,,40.4813,49.6656,4
,AZ,AZ 0112,Ceyranbatan,AbÅŸeron,1,,,,,40.5419,49.6607,4
,AZ,AZ 0113,Fatmayi,AbÅŸeron,1,,,,,40.5301,49.8449,4
,AZ,AZ 0114,GÃ¼zdÉ™k-2,AbÅŸeron,1,,,,,40.4879,49.7507,1
,AZ,AZ 0115,HÃ¶kmÉ™li,AbÅŸeron,1,,,,,40.4311,49.7372,4
,AZ,AZ 0116,Masazir-1,AbÅŸeron,1,,,,,40.4879,49.7507,1
,AZ,AZ 0117,Qobu,AbÅŸeron,1,,,,,40.4047,49.7131,4
,AZ,AZ 0118,Mehdiabad,AbÅŸeron,1,,,,,40.4969,49.8517,4
,AZ,AZ 0119,Novxani,AbÅŸeron,1,,,,,40.5291,49.7819,4
,AZ,AZ 0120,PirÉ™kÉ™ÅŸkÃ¼l,AbÅŸeron,1,,,,,40.4843,49.5925,4
,AZ,AZ 0121,Saray-1pÅŸ,AbÅŸeron,1,,,,,40.5085,49.7657,1
,AZ,AZ 0122,Goradil,AbÅŸeron,1,,,,,40.5486,49.8297,4
,AZ,AZ 0123,Masazir-2,AbÅŸeron,1,,,,,40.5085,49.7657,1
,AZ,AZ 0124,Ã‡ayli,AbÅŸeron,1,,,,,40.5085,49.7657,1
,AZ,AZ 0125,MÉ™hÉ™mmmÉ™dli,AbÅŸeron,1,,,,,40.5085,49.7657,1
,AZ,AZ 0127,Digah,AbÅŸeron,1,,,,,40.4926,49.8748,4
,AZ,AZ 0128,Saray-2,AbÅŸeron,1,,,,,40.5085,49.7657,1
,AZ,AZ 0129,Mexkalon,AbÅŸeron,1,,,,,40.5085,49.7657,1
,AZ,AZ 0130,At Yali,AbÅŸeron,1,,,,,40.4982,49.7582,1
,AZ,AZ 0131,Goradil-2,AbÅŸeron,1,,,,,40.4982,49.7582,1
,AZ,AZ 0155,MÃ¼ÅŸviqabad,AbÅŸeron,1,,,,,40.4982,49.7582,1
,AZ,AZ 0400,AÄŸcabÉ™di,AÄŸcabÉ™di,2,,,,,40.0501,47.4594,4
,AZ,AZ 0402,2 Sayli,AÄŸcabÉ™di,2,,,,,40.0501,47.4594,1
,AZ,AZ 0403,3 Sayli,AÄŸcabÉ™di,2,,,,,40.0501,47.4594,1
,AZ,AZ 0404,4 Sayli,AÄŸcabÉ™di,2,,,,,40.0501,47.4594,1
,AZ,AZ 0411,AvÅŸar,AÄŸcabÉ™di,2,,,,,39.9739,47.4239,4
,AZ,AZ 0412,Boyad,AÄŸcabÉ™di,2,,,,,40.0302,47.3447,1
,AZ,AZ 0413,GÉ™lÉ™bÉ™din,AÄŸcabÉ™di,2,,,,,40.1387,47.2514,4
,AZ,AZ 0414,HacibÉ™dÉ™lli,AÄŸcabÉ™di,2,,,,,40.0622,47.3676,4
,AZ,AZ 0415,Hindarx,AÄŸcabÉ™di,2,,,,,40.0687,47.2078,4
,AZ,AZ 0416,HÃ¼sÃ¼lÃ¼,AÄŸcabÉ™di,2,,,,,40.0694,47.2995,4
